[2020-04-05 18:28:21.174058] Update: 570 / 1953, Frames: 584704, Rewards: 0.875, Min: 0.000, Max: 1.000, PL: -0.029,VL: 0.013, Ent: 2.271
[2020-04-05 18:31:29.265235] Update: 580 / 1953, Frames: 594944, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.029,VL: 0.004, Ent: 2.251
[2020-04-05 18:34:33.344094] Update: 590 / 1953, Frames: 605184, Rewards: 0.875, Min: 0.000, Max: 1.000, PL: -0.030,VL: 0.026, Ent: 2.230
[2020-04-05 18:37:39.469158] Update: 600 / 1953, Frames: 615424, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.018,VL: 0.023, Ent: 2.056
[2020-04-05 18:40:47.606136] Update: 610 / 1953, Frames: 625664, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.025,VL: 0.001, Ent: 1.877
[2020-04-05 18:43:53.611763] Update: 620 / 1953, Frames: 635904, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.026,VL: 0.009, Ent: 1.895
[2020-04-05 18:46:59.789124] Update: 630 / 1953, Frames: 646144, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.025,VL: 0.009, Ent: 2.015
[2020-04-05 18:50:06.524043] Update: 640 / 1953, Frames: 656384, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.009,VL: 0.007, Ent: 2.047
[2020-04-05 18:53:13.405745] Update: 650 / 1953, Frames: 666624, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: 0.009,VL: 0.023, Ent: 2.298
[2020-04-05 18:56:07.376305] Update: 660 / 1953, Frames: 676864, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.004,VL: 0.008, Ent: 2.090
[2020-04-05 18:58:33.025253] Update: 670 / 1953, Frames: 687104, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.029,VL: 0.008, Ent: 2.102
[2020-04-05 19:00:59.674079] Update: 680 / 1953, Frames: 697344, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.001,VL: 0.006, Ent: 2.152
[2020-04-05 19:03:24.226239] Update: 690 / 1953, Frames: 707584, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.042,VL: 0.020, Ent: 2.034
[2020-04-05 19:05:49.008273] Update: 700 / 1953, Frames: 717824, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.028,VL: 0.001, Ent: 2.021
[2020-04-05 19:08:14.609484] Update: 710 / 1953, Frames: 728064, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.012,VL: 0.012, Ent: 2.355
[2020-04-05 19:10:41.105388] Update: 720 / 1953, Frames: 738304, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.037,VL: 0.020, Ent: 2.320
[2020-04-05 19:13:06.261198] Update: 730 / 1953, Frames: 748544, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.034,VL: 0.016, Ent: 1.951
[2020-04-05 19:15:33.039996] Update: 740 / 1953, Frames: 758784, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.006,VL: 0.019, Ent: 2.092
[2020-04-05 19:17:57.156159] Update: 750 / 1953, Frames: 769024, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.018,VL: 0.009, Ent: 2.112
[2020-04-05 19:20:21.353650] Update: 760 / 1953, Frames: 779264, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.019,VL: 0.000, Ent: 2.047
[2020-04-05 19:22:43.836449] Update: 770 / 1953, Frames: 789504, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.002,VL: 0.011, Ent: 2.263
[2020-04-05 19:25:07.272586] Update: 780 / 1953, Frames: 799744, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.034,VL: 0.011, Ent: 2.318
[2020-04-05 19:27:30.521878] Update: 790 / 1953, Frames: 809984, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.009,VL: 0.008, Ent: 2.170
[2020-04-05 19:29:55.562886] Update: 800 / 1953, Frames: 820224, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.017,VL: 0.010, Ent: 2.351
[2020-04-05 19:32:21.703351] Update: 810 / 1953, Frames: 830464, Rewards: 0.875, Min: 0.000, Max: 1.000, PL: -0.016,VL: 0.012, Ent: 2.162
[2020-04-05 19:34:46.884910] Update: 820 / 1953, Frames: 840704, Rewards: 0.875, Min: 0.000, Max: 1.000, PL: -0.021,VL: 0.001, Ent: 2.145
[2020-04-05 19:37:09.843414] Update: 830 / 1953, Frames: 850944, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.010,VL: 0.035, Ent: 2.325
[2020-04-05 19:39:33.223789] Update: 840 / 1953, Frames: 861184, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.015,VL: 0.001, Ent: 2.047
[2020-04-05 19:41:58.036184] Update: 850 / 1953, Frames: 871424, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.014,VL: 0.004, Ent: 2.112
[2020-04-05 19:44:20.322793] Update: 860 / 1953, Frames: 881664, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.024,VL: 0.004, Ent: 2.132
[2020-04-05 19:46:47.563807] Update: 870 / 1953, Frames: 891904, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.028,VL: 0.006, Ent: 1.655
[2020-04-05 19:49:11.360866] Update: 880 / 1953, Frames: 902144, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.040,VL: 0.010, Ent: 1.590
[2020-04-05 19:51:36.226739] Update: 890 / 1953, Frames: 912384, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.017,VL: 0.002, Ent: 1.757
[2020-04-05 19:54:00.448625] Update: 900 / 1953, Frames: 922624, Rewards: 0.875, Min: 0.000, Max: 1.000, PL: 0.003,VL: 0.010, Ent: 2.108
[2020-04-05 19:56:23.191962] Update: 910 / 1953, Frames: 932864, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.017,VL: 0.016, Ent: 2.166
[2020-04-05 19:58:46.827365] Update: 920 / 1953, Frames: 943104, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.007,VL: 0.009, Ent: 1.910
[2020-04-05 20:01:10.551524] Update: 930 / 1953, Frames: 953344, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.073,VL: 0.001, Ent: 1.957
[2020-04-05 20:03:32.124618] Update: 940 / 1953, Frames: 963584, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: 0.017,VL: 0.004, Ent: 2.003
[2020-04-05 20:05:56.953553] Update: 950 / 1953, Frames: 973824, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: 0.002,VL: 0.008, Ent: 2.285
[2020-04-05 20:08:20.154157] Update: 960 / 1953, Frames: 984064, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.037,VL: 0.020, Ent: 2.381
[2020-04-05 20:10:41.499770] Update: 970 / 1953, Frames: 994304, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.040,VL: 0.007, Ent: 2.242
[2020-04-05 20:13:09.415044] Update: 980 / 1953, Frames: 1004544, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.021,VL: 0.007, Ent: 2.200
[2020-04-05 20:15:33.023026] Update: 990 / 1953, Frames: 1014784, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.014,VL: 0.011, Ent: 2.115
[2020-04-05 20:17:57.048823] Update: 1000 / 1953, Frames: 1025024, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: 0.002,VL: 0.013, Ent: 1.846
[2020-04-05 20:20:20.709796] Update: 1010 / 1953, Frames: 1035264, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.011,VL: 0.002, Ent: 2.191
[2020-04-05 20:22:45.246229] Update: 1020 / 1953, Frames: 1045504, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.013,VL: 0.009, Ent: 2.197
